"date","sac_flow","san_joaquin_flow","export","delta_outflow","omr_flow_extrap","winter_lad_loss","winter_expanded_salvage","spring_lad_loss","spring_expanded_salvage","sac_trawl_wr_count","sac_trawl_sample_size","sac_trawl_sr_count","sac_trawl_sr_daily_cpue","sac_trawl_wr_daily_cpue"
1993-01-01,14400,1000,10809,14261,-8780,245.59,56,0,0,NA,NA,NA,NA,NA
1993-01-02,22100,1060,10645,24313,-8190,199.37,45.65,0,0,NA,NA,NA,NA,NA
1993-01-03,34600,1080,8180,33072,-7600,70.2,16,0,0,NA,NA,NA,NA,NA
1993-01-04,34500,1150,9523,30559,-7810,77.56,16,0,0,0,9,0,0,0
1993-01-05,29100,1220,9820,24568,-8110,53.72,12,0,0,NA,NA,NA,NA,NA
1993-01-06,23500,1250,10616,15909,-8930,0,0,0,0,0,10,0,0,0
1993-01-07,25800,1270,11479,23198,-9660,62.12,14,0,0,0,7,0,0,0
1993-01-08,29600,1400,10641,33470,-7880,0,0,0,0,4,10,0,0,0.4
1993-01-09,38000,2330,10657,41463,-7450,44.13,10,0,0,NA,NA,NA,NA,NA
1993-01-10,39500,2920,10647,43755,-7410,104.56,24,0,0,NA,NA,NA,NA,NA
1993-01-11,36800,3460,11217,40640,-6820,76.88,18,0,0,14,10,0,0,1.4
1993-01-12,34100,3910,11879,33727,-7700,168.43,38,0,0,NA,NA,NA,NA,NA
1993-01-13,34500,3670,11956,44929,-9930,0,0,0,0,6,8,0,0,0.75
1993-01-14,42100,4940,12049,54444,-8040,210.34,48,0,0,NA,NA,NA,NA,NA
1993-01-15,46700,6470,11242,59834,-7340,51.88,12,0,0,10,10,0,0,1
1993-01-16,51700,6530,12833,64201,-8180,232.05,54,0,0,NA,NA,NA,NA,NA
1993-01-17,58200,6160,14083,70382,-9000,101.28,24,0,0,NA,NA,NA,NA,NA
1993-01-18,63400,6570,12061,77235,-7300,156.85,36,0,0,NA,NA,NA,NA,NA
1993-01-19,60900,9590,12439,74232,-6190,207.52,48,0,0,1,10,0,0,0.1
1993-01-20,58900,8950,13976,72230,-7810,101.42,24,0,0,2,4,0,0,0.5
1993-01-21,68000,7130,13152,90446,-7600,49.86,12,0,0,10,10,0,0,1
1993-01-22,76800,6710,12930,108616,-6900,0,0,0,0,4,10,0,0,0.4
1993-01-23,80000,6500,12891,131316,-7100,0,0,0,0,NA,NA,NA,NA,NA
1993-01-24,79200,6020,12805,129015,-7840,0,0,0,0,NA,NA,NA,NA,NA
1993-01-25,77400,5300,12594,111333,-8360,0,0,0,0,2,10,0,0,0.2
1993-01-26,71700,4750,12319,86289,-8320,134.25,30,0,0,2,7,0,0,0.285714285714286
1993-01-27,67800,4180,12193,71885,-7840,0,0,0,0,0,5,0,0,0
1993-01-28,62100,3580,12038,62078,-8030,0,0,0,0,2,8,0,0,0.25
1993-01-29,51600,3140,11905,49932,-8220,0,0,0,0,5,10,0,0,0.5
1993-01-30,42600,2860,11795,39322,-9050,135.78,30,0,0,NA,NA,NA,NA,NA
1993-01-31,40500,2620,10417,37808,-9050,75.14,18,0,0,NA,NA,NA,NA,NA
1993-02-01,37100,2410,9539,34991,-7630,0,0,0,0,3,10,0,0,0.3
1993-02-02,35200,2270,8232,33892,-6630,26.38,6,0,0,2,10,0,0,0.2
1993-02-03,31400,2160,8484,28648,-6520,0,0,0,0,5,10,0,0,0.5
1993-02-04,28700,2040,7843,25215,-6090,36.93,8,0,0,1,8,0,0,0.125
